"서비스 ID","서비스명","OPENAPI서비스명","요청주소","요청기본인자","기본샘플명","기본샘플주소","OPENAPI메타URL"
"OA-20883","서울시 공공와이파이 서비스 위치 정보","TbPublicWifiInfo","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo/요청위치(정수)/요청종료위치(정수)","서울시 공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo/1/5/","https://data.seoul.go.kr/dataList/datasetView.do?serviceKind=2&currentPageNo=1&srvType=A&infId="
"OA-20889","서울시 종로구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_JN","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_JN/요청위치(정수)/요청종료위치(정수)","종로구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_JN/1/5/","https://data.jongno.go.kr/openinf/openapiview.jsp?infId=OA-20889"
"OA-20890","서울시 중구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_JG","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_JG/요청위치(정수)/요청종료위치(정수)","중구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_JG/1/5/","https://data.junggu.go.kr/openinf/openapiview.jsp?infId=OA-20890"
"OA-20891","서울시 용산구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_YS","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_YS/요청위치(정수)/요청종료위치(정수)","용산구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_YS/1/5/","https://data.yongsan.go.kr/openinf/openapiview.jsp?infId=OA-20891"
"OA-20892","서울시 성동구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_SD","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_SD/요청위치(정수)/요청종료위치(정수)","성동구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_SD/1/5/","https://data.sd.go.kr/openinf/openapiview.jsp?infId=OA-20892"
"OA-20893","서울시 광진구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_GJ","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_GJ/요청위치(정수)/요청종료위치(정수)","광진구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_GJ/1/5/","https://data.gwangjin.go.kr/openinf/openapiview.jsp?infId=OA-20893"
"OA-20894","서울시 동대문구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_DD","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_DD/요청위치(정수)/요청종료위치(정수)","동대문구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_DD/1/5/","https://data.ddm.go.kr/openinf/openapiview.jsp?infId=OA-20894"
"OA-20895","서울시 중랑구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_JR","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_JR/요청위치(정수)/요청종료위치(정수)","중랑구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_JR/1/5/","https://data.jungnang.go.kr/openinf/openapiview.jsp?infId=OA-20895"
"OA-20896","서울시 성북구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_SB","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_SB/요청위치(정수)/요청종료위치(정수)","성북구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_SB/1/5/","https://data.sb.go.kr/openinf/openapiview.jsp?infId=OA-20896"
"OA-20897","서울시 강북구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_GB","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_GB/요청위치(정수)/요청종료위치(정수)","강북구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_GB/1/5/","https://data.gangbuk.go.kr/openinf/openapiview.jsp?infId=OA-20897"
"OA-20898","서울시 도봉구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_DB","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_DB/요청위치(정수)/요청종료위치(정수)","도봉구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_DB/1/5/","https://data.dobong.go.kr/openinf/openapiview.jsp?infId=OA-20898"
"OA-20899","서울시 노원구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_NW","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_NW/요청위치(정수)/요청종료위치(정수)","노원구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_NW/1/5/","https://data.nowon.go.kr/openinf/openapiview.jsp?infId=OA-20899"
"OA-20900","서울시 은평구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_EP","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_EP/요청위치(정수)/요청종료위치(정수)","은평구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_EP/1/5/","https://data.ep.go.kr/openinf/openapiview.jsp?infId=OA-20900"
"OA-20901","서울시 서대문구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_SM","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_SM/요청위치(정수)/요청종료위치(정수)","서대문구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_SM/1/5/","https://data.sdm.go.kr/openinf/openapiview.jsp?infId=OA-20901"
"OA-20902","서울시 마포구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_MP","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_MP/요청위치(정수)/요청종료위치(정수)","마포구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_MP/1/5/","https://data.mapo.go.kr/openinf/openapiview.jsp?infId=OA-20902"
"OA-20903","서울시 양천구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_YC","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_YC/요청위치(정수)/요청종료위치(정수)","양천구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_YC/1/5/","https://data.yangcheon.go.kr/openinf/openapiview.jsp?infId=OA-20903"
"OA-20904","서울시 강서구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_GS","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_GS/요청위치(정수)/요청종료위치(정수)","강서구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_GS/1/5/","https://data.gangseo.go.kr/openinf/openapiview.jsp?infId=OA-20904"
"OA-20905","서울시 구로구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_GR","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_GR/요청위치(정수)/요청종료위치(정수)","구로구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_GR/1/5/","https://data.guro.go.kr/openinf/openapiview.jsp?infId=OA-20905"
"OA-20906","서울시 금천구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_GC","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_GC/요청위치(정수)/요청종료위치(정수)","금천구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_GC/1/5/","https://data.geumcheon.go.kr/openinf/openapiview.jsp?infId=OA-20906"
"OA-20907","서울시 영등포구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_YD","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_YD/요청위치(정수)/요청종료위치(정수)","영등포구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_YD/1/5/","https://data.ydp.go.kr/openinf/openapiview.jsp?infId=OA-20907"
"OA-20908","서울시 동작구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_DJ","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_DJ/요청위치(정수)/요청종료위치(정수)","동작구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_DJ/1/5/","https://data.dongjak.go.kr/openinf/openapiview.jsp?infId=OA-20908"
"OA-20909","서울시 관악구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_GA","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_GA/요청위치(정수)/요청종료위치(정수)","관악구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_GA/1/5/","https://data.gwanak.go.kr/openinf/openapiview.jsp?infId=OA-20909"
"OA-20910","서울시 서초구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_SC","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_SC/요청위치(정수)/요청종료위치(정수)","서초구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_SC/1/5/","https://data.seocho.go.kr/openinf/openapiview.jsp?infId=OA-20910"
"OA-20911","서울시 강남구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_GN","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_GN/요청위치(정수)/요청종료위치(정수)","강남구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_GN/1/5/","https://data.gangnam.go.kr/openinf/openapiview.jsp?infId=OA-20911"
"OA-20912","서울시 송파구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_SP","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_SP/요청위치(정수)/요청종료위치(정수)","송파구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_SP/1/5/","https://data.songpa.go.kr/openinf/openapiview.jsp?infId=OA-20912"
"OA-20913","서울시 강동구 공공와이파이 서비스 위치 정보","TbPublicWifiInfo_GD","http://openAPI.seoul.go.kr:8088","/인증키/요청타입(xmlxlsjson)/TbPublicWifiInfo_GD/요청위치(정수)/요청종료위치(정수)","강동구  공공와이파이 서비스 위치 정보","http://openapi.seoul.go.kr:8088/sample/xml/TbPublicWifiInfo_GD/1/5/","https://data.gd.go.kr/openinf/openapiview.jsp?infId=OA-20913"